ID,Species,Lat,Lon,Elev,Aa_40,Aa_3,Am_40,Am_3,Na_40,Na_3,Nm_40,Nm_3,LMA_40,LMA_3,Biome,LifeForm,EvgDecid,C3C4,Reference
2,Fagus sylvatica,49.9833333333333,11.7833333333333,760,-9999,-9999,-9999,-9999,0.954398857566029,0.610502438856821,1.98931420509157,2.54692052612199,51.4974951306372,23.4083019885864,Temperate,Tree,Deciduous,C3,{Niinemets 1995 #9746}
3,Fagus sylvatica,49.9833333333333,11.7833333333333,760,-9999,-9999,-9999,-9999,1.5757015983407,0.678650171945755,2.2519888195047,2.34819141145626,69.5103341941218,28.7668693266655,Temperate,Tree,Deciduous,C3,{Niinemets 1995 #9746}
5,Fagus sylvatica,48.77,6.28,250,5.34651490854262,3.49449812040201,52.7896757817992,83.1210781222666,-9999,-9999,-9999,-9999,87.6942504582636,46.0054969530698,Temperate,Tree,Deciduous,C3,{Ducrey 1981 #7271}
7,Fagus sylvatica,48.77,6.28,250,4.98708867885751,3.53348868421099,55.9232970027688,72.3167861124436,-9999,-9999,-9999,-9999,95.5155620788239,45.33045880895,Temperate,Tree,Deciduous,C3,{Ducrey 1981 #7271}
9,Fagus sylvatica,48.77,6.28,250,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,100.687057252553,51.8831096712162,Temperate,Tree,Deciduous,C3,{Aussenac 1977 #6529}
10,Tilia cordata,58.25,26.75,60,-9999,-9999,-9999,-9999,2.35338336965515,0.765520559198187,2.42677784545546,2.38837044893663,96.4799921399752,30.9832639784293,Temperate,Tree,Deciduous,C3,{Niinemets 1998 #13853}; {Niinemets 1998 #16045}
11,Tilia cordata,58.25,26.75,60,9.41098208712948,5.86497867916997,80.2407826103287,122.784013703537,-9999,-9999,-9999,-9999,-9999,-9999,Temperate,Tree,Deciduous,C3,{Niinemets 1998 #13936}; {Kull 1998 #15829}
12,Populus tremula,58.3,26.7,60,-9999,-9999,-9999,-9999,3.14320605504831,1.4932011919158,2.31925739831614,1.98507774990596,126.786989273794,68.8056478156611,Temperate,Tree,Deciduous,C3,{Niinemets 1998 #13853}; {Niinemets 1999 #17051}
13,Populus tremula,58.3,26.7,60,18.2635689677485,8.8627481225104,131.356004478825,121.625829363798,-9999,-9999,-9999,-9999,-9999,-9999,Temperate,Tree,Deciduous,C3,{Niinemets 1998 #13936}; {Kull 1998 #15829}
15,Corylus avellana,58.3,26.7,60,-9999,-9999,-9999,-9999,1.87058776950991,0.521642445299001,2.14556060516645,1.86057655493073,99.6663984551117,28.2547063529633,Temperate,Shrub,Deciduous,C3,{Niinemets 1998 #13853}
